airport_code,airport_name,city,timezone,longitude,latitude
BZK,"{""en"": ""Bryansk Airport"", ""ru"": ""Брянск""}","{""en"": ""Bryansk"", ""ru"": ""Брянск""}",Europe/Moscow,(34.1763992309999978,53.2141990661999955)
MRV,"{""en"": ""Mineralnyye Vody Airport"", ""ru"": ""Минеральные Воды""}","{""en"": ""Mineralnye Vody"", ""ru"": ""Минеральные Воды""}",Europe/Moscow,(43.0819015502929688,44.2251014709472656)
STW,"{""en"": ""Stavropol Shpakovskoye Airport"", ""ru"": ""Ставрополь""}","{""en"": ""Stavropol"", ""ru"": ""Ставрополь""}",Europe/Moscow,(42.1128005981445312,45.1091995239257812)
ASF,"{""en"": ""Astrakhan Airport"", ""ru"": ""Астрахань""}","{""en"": ""Astrakhan"", ""ru"": ""Астрахань""}",Europe/Samara,(48.0063018799000005,46.2832984924000002)
NJC,"{""en"": ""Nizhnevartovsk Airport"", ""ru"": ""Нижневартовск""}","{""en"": ""Nizhnevartovsk"", ""ru"": ""Нижневартовск""}",Asia/Yekaterinburg,(76.4835968017578125,60.9492988586425781)
SVX,"{""en"": ""Koltsovo Airport"", ""ru"": ""Кольцово""}","{""en"": ""Yekaterinburg"", ""ru"": ""Екатеринбург""}",Asia/Yekaterinburg,(60.8027000427250002,56.7430992126460012)
SVO,"{""en"": ""Sheremetyevo International Airport"", ""ru"": ""Шереметьево""}","{""en"": ""Moscow"", ""ru"": ""Москва""}",Europe/Moscow,(37.4146000000000001,55.9725990000000024)
VOZ,"{""en"": ""Voronezh International Airport"", ""ru"": ""Воронеж""}","{""en"": ""Voronezh"", ""ru"": ""Воронеж""}",Europe/Moscow,(39.2295989990234375,51.8142013549804688)
VKO,"{""en"": ""Vnukovo International Airport"", ""ru"": ""Внуково""}","{""en"": ""Moscow"", ""ru"": ""Москва""}",Europe/Moscow,(37.2615013122999983,55.5914993286000012)
SCW,"{""en"": ""Syktyvkar Airport"", ""ru"": ""Сыктывкар""}","{""en"": ""Syktyvkar"", ""ru"": ""Сыктывкар""}",Europe/Moscow,(50.8451004028320312,61.6469993591308594)
KUF,"{""en"": ""Kurumoch International Airport"", ""ru"": ""Курумоч""}","{""en"": ""Samara"", ""ru"": ""Самара""}",Europe/Samara,(50.1642990112299998,53.5049018859860013)
DME,"{""en"": ""Domodedovo International Airport"", ""ru"": ""Домодедово""}","{""en"": ""Moscow"", ""ru"": ""Москва""}",Europe/Moscow,(37.9062995910644531,55.4087982177734375)
